payload,label
POST /contact HTTP/1.0,0
GET /profile HTTP/2,0
DELETE /home HTTP/1.1,0
PUT /search HTTP/1.1,0
GET /api/data HTTP/1.0,0
PATCH /api/user HTTP/1.1,0
POST /terms HTTP/1.0,0
GET /dashboard HTTP/1.1,0
PUT /logout HTTP/2,0
GET /about HTTP/1.0,0
POST /profile HTTP/2,0
GET / HTTP/1.1,0
PATCH /signup HTTP/1.0,0
PUT /privacy HTTP/1.1,0
GET /api/data HTTP/2,0
POST /help HTTP/1.1,0
DELETE /home HTTP/2,0
GET /settings HTTP/1.1,0
PUT /api/user HTTP/1.0,0
POST /logout HTTP/2,0
GET /search HTTP/1.0,0
DELETE /profile HTTP/1.1,0
POST /about HTTP/2,0
GET /terms HTTP/1.0,0
PATCH /logout HTTP/1.1,0
GET /dashboard HTTP/1.0,0
POST /home HTTP/1.1,0
PUT /privacy HTTP/2,0
GET /signup HTTP/1.1,0
PATCH /profile HTTP/1.0,0
POST /product/456 HTTP/1.1,0
GET /messages HTTP/2,0
PUT /checkout HTTP/1.0,0
DELETE /orders/456 HTTP/1.1,0
POST /profile HTTP/1.1,0
PATCH /settings HTTP/2,0
GET /api/data HTTP/1.0,0
PUT /wishlist HTTP/1.1,0
GET /api/v1/items HTTP/2,0
POST /payment/history HTTP/1.0,0
GET /cart HTTP/1.1,0
PATCH /orders HTTP/2,0
POST /help HTTP/1.1,0
DELETE /product/789 HTTP/1.0,0
GET /terms HTTP/2,0
POST /payment HTTP/1.1,0
PATCH /api/v1/auth HTTP/1.0,0
GET /notifications HTTP/2,0
POST /orders/456 HTTP/1.1,0
PUT /privacy HTTP/1.0,0
GET /order/track HTTP/2,0
POST /about HTTP/1.1,0
PATCH /profile HTTP/1.0,0
GET /search HTTP/1.1,0
POST /checkout HTTP/1.0,0
DELETE /wishlist HTTP/1.1,0
PUT /product/123 HTTP/1.0,0
GET /home HTTP/2,0
POST /login HTTP/1.1,0
PATCH /cart HTTP/1.0,0
GET /checkout?username=john&page=1&limit=10 HTTP/1.1,0
GET /api/v1/products?q=python&type=tutorial HTTP/1.1,0
GET /cart?lang=en&region=US HTTP/1.1,0
GET /search?search=laptop&brand=HP HTTP/1.1,0
GET /orders?order_id=5678&status=shipped HTTP/1.1,0
GET /wishlist?limit=50&offset=0 HTTP/1.1,0
GET /search/results?keyword=camera&category=gadgets HTTP/1.1,0
GET /product/123?user_id=1&filter=active HTTP/1.1,0
GET /api/user/1?search=shoes&size=8 HTTP/1.1,0
GET /dashboard?filter=discounted&sort=popularity HTTP/1.1,0
GET /notifications?username=john&page=1&limit=10 HTTP/1.1,0
GET /offers?price_min=100&price_max=1000 HTTP/1.1,0
GET /reviews?user=jane&status=active HTTP/1.1,0
GET /api/product/789?ref=affiliate&utm_source=newsletter HTTP/1.1,0
GET /products/456?category=electronics&sort=price&order=asc HTTP/1.1,0
